followers,date,template_id
1 069,"2021, 9, 29",6
1 168,"2021, 10, 7",6
1 219,"2021, 10, 15",6
1 262,"2021, 10, 24",6
1 352,"2021, 11, 2",6
1 471,"2021, 11, 10",6
2 147,"2021, 11, 18",6
8 766,"2021, 11, 26",6
10 569,"2021, 12, 4",6
11 665,"2021, 12, 12",6
11 995,"2021, 12, 20",6
18 567,"2021, 12, 28",6
23 989,"2022, 1, 5",6
27 187,"2022, 1, 13",6
53 352,"2022, 1, 21",6
59 709,"2022, 1, 29",6
72 834,"2022, 2, 6",6
82 589,"2022, 2, 14",6
83 902,"2022, 2, 22",6
90 593,"2022, 3, 2",6
90 552,"2022, 3, 10",6
90 961,"2022, 3, 17",6
